Jahr;Schulgemeinde;Land;country_n;per_n;rank;diff_c
2001;Limmattal;Rumänien;3;8.396305625524769e-4;5028;66
2001;Limmattal;Russland;1;2.79876854184159e-4;7272;66
2001;Limmattal;Schweiz;927;0.2594458438287154;132;66
2001;Limmattal;Serbien;720;0.20151133501259447;135;66
2001;Limmattal;Slowakische Republik;2;5.59753708368318e-4;5887;66
2001;Limmattal;Somalia;33;0.009235936188077247;1262;66
2001;Limmattal;Spanien;152;0.042541281835992165;376;66
2001;Limmattal;Sri Lanka;284;0.07948502658830114;188;66
2001;Limmattal;Süd-/Osteuropa;14;0.003918275958578225;2063;66
2001;Limmattal;Syrien;3;8.396305625524769e-4;5028;66
2001;Limmattal;Thailand;7;0.0019591379792891126;3180;66
2001;Limmattal;Tunesien;2;5.59753708368318e-4;5887;66
2001;Limmattal;Türkei;227;0.06353204589980409;241;66
2001;Limmattal;Ungarn;3;8.396305625524769e-4;5028;66
2001;Limmattal;Venezuela;1;2.79876854184159e-4;7272;66
2001;Limmattal;Vereinigte Staaten;2;5.59753708368318e-4;5887;66
2001;Limmattal;Vietnam;9;0.0025188916876574307;2733;66
2001;Limmattal;Zambia;1;2.79876854184159e-4;7272;66
2001;Schwamendingen;Afghanistan;5;0.0016523463317911435;3919;64
2001;Schwamendingen;Afrika;1;3.3046926635822867e-4;7272;64
2001;Schwamendingen;Albanien;1;3.3046926635822867e-4;7272;64
2001;Schwamendingen;Algerien;4;0.0013218770654329147;4399;64
2001;Schwamendingen;Angola;3;9.914077990746861e-4;5028;64
2001;Schwamendingen;Bolivien;3;9.914077990746861e-4;5028;64
2001;Schwamendingen;Bosnien-Herzegowina;64;0.021150033046926635;838;64
2001;Schwamendingen;Brasilien;9;0.002974223397224058;2733;64
2001;Schwamendingen;Chile;9;0.002974223397224058;2733;64
2001;Schwamendingen;China;5;0.0016523463317911435;3919;64
2001;Schwamendingen;Deutschland;18;0.005948446794448116;1748;64
2001;Schwamendingen;Dominikanische Republik;15;0.00495703899537343;1955;64
2001;Schwamendingen;Finnland;2;6.609385327164573e-4;5887;64
2001;Schwamendingen;Frankreich;1;3.3046926635822867e-4;7272;64
2001;Schwamendingen;Ghana;6;0.0019828155981493722;3495;64
2001;Schwamendingen;Griechenland;19;0.006278916060806345;1693;64
2001;Schwamendingen;Grossbritannien;4;0.0013218770654329147;4399;64
2001;Schwamendingen;Indien;7;0.002313284864507601;3180;64
2001;Schwamendingen;Irak;6;0.0019828155981493722;3495;64
2001;Schwamendingen;Iran;7;0.002313284864507601;3180;64
2001;Schwamendingen;Israel;2;6.609385327164573e-4;5887;64
2001;Schwamendingen;Italien;213;0.07038995373430271;263;64
2001;Schwamendingen;Japan;2;6.609385327164573e-4;5887;64
2001;Schwamendingen;Jordanien;2;6.609385327164573e-4;5887;64
2001;Schwamendingen;Kamerun;1;3.3046926635822867e-4;7272;64
2001;Schwamendingen;Kenya;2;6.609385327164573e-4;5887;64
2001;Schwamendingen;Kolumbien;4;0.0013218770654329147;4399;64
2001;Schwamendingen;Kongo (Brazzaville);4;0.0013218770654329147;4399;64
2001;Schwamendingen;Korea (Süd-);2;6.609385327164573e-4;5887;64
2001;Schwamendingen;Kroatien;50;0.016523463317911435;977;64
2001;Schwamendingen;Kuba;3;9.914077990746861e-4;5028;64
2001;Schwamendingen;Libanon;1;3.3046926635822867e-4;7272;64
2001;Schwamendingen;Malaysia;1;3.3046926635822867e-4;7272;64
2001;Schwamendingen;Marokko;1;3.3046926635822867e-4;7272;64
2001;Schwamendingen;Niederlande;1;3.3046926635822867e-4;7272;64
2001;Schwamendingen;Nordmazedonien;74;0.024454725710508923;721;64
2001;Schwamendingen;Österreich;9;0.002974223397224058;2733;64
2001;Schwamendingen;Pakistan;1;3.3046926635822867e-4;7272;64
2001;Schwamendingen;Peru;1;3.3046926635822867e-4;7272;64
2001;Schwamendingen;Philippinen;9;0.002974223397224058;2733;64
2001;Schwamendingen;Polen;6;0.0019828155981493722;3495;64
2001;Schwamendingen;Portugal;108;0.0356906807666887;496;64
2001;Schwamendingen;Rumänien;2;6.609385327164573e-4;5887;64
2001;Schwamendingen;Russland;6;0.0019828155981493722;3495;64
2001;Schwamendingen;Schweden;2;6.609385327164573e-4;5887;64
2001;Schwamendingen;Schweiz;1648;0.5446133509583608;122;64
2001;Schwamendingen;Serbien;363;0.11996034368803701;159;64
2001;Schwamendingen;Slowenien;1;3.3046926635822867e-4;7272;64
2001;Schwamendingen;Somalia;12;0.0039656311962987445;2274;64
2001;Schwamendingen;Spanien;65;0.021480502313284865;827;64
2001;Schwamendingen;Sri Lanka;55;0.018175809649702578;929;64
2001;Schwamendingen;Staat unbekannt;2;6.609385327164573e-4;5887;64
2001;Schwamendingen;Süd-/Osteuropa;12;0.0039656311962987445;2274;64
2001;Schwamendingen;Südafrika;1;3.3046926635822867e-4;7272;64
2001;Schwamendingen;Thailand;11;0.0036351619299405157;2428;64
2001;Schwamendingen;Tibet;1;3.3046926635822867e-4;7272;64
2001;Schwamendingen;Tschechische Republik;2;6.609385327164573e-4;5887;64
2001;Schwamendingen;Tunesien;6;0.0019828155981493722;3495;64
2001;Schwamendingen;Türkei;138;0.04560475875743556;406;64
2001;Schwamendingen;Ukraine;2;6.609385327164573e-4;5887;64
2001;Schwamendingen;Ungarn;4;0.0013218770654329147;4399;64
